Crime_ID,Crime_Type,City,Area,Latitude,Longitude,Date,Victim_Age,Suspect_Age,Status
1,Theft,Mangaluru,Bhagat Road,16.852422,76.03777,2026-03-19,51,50,Open
2,Robbery,Shivamogga,Oza Road,17.537875,77.103589,2026-02-17,53,51,Closed
3,Cyber Crime,Hubballi,Dada Path,17.802845,76.040576,2026-04-24,22,40,Under Investigation
4,Fraud,Hubballi,Kalita Zila,15.033955,75.58463,2025-12-20,56,28,Under Investigation
5,Drug Trafficking,Mangaluru,Dyal,15.989756,75.624563,2025-12-13,52,38,Closed
6,Assault,Shivamogga,Karnik Nagar,12.325377,76.860354,2026-03-31,57,45,Under Investigation
7,Drug Trafficking,Hubballi,Brahmbhatt Ganj,18.366744,76.905872,2025-10-19,57,30,Open
8,Assault,Hubballi,Raghavan Zila,12.326783,75.358981,2026-03-22,53,39,Closed
9,Assault,Belagavi,Saha,13.044997,77.628963,2026-05-05,69,52,Closed
10,Robbery,Bengaluru,Krishna Street,13.211462,75.706343,2026-03-06,27,42,Closed
11,Robbery,Shivamogga,Guha Street,13.565177,74.979954,2026-05-11,55,45,Under Investigation
12,Murder,Hubballi,Nanda Chowk,14.609248,75.569099,2026-01-24,54,51,Open
13,Assault,Belagavi,Balan Road,14.908295,77.907053,2026-06-18,52,39,Under Investigation
14,Murder,Mysuru,Kapur Zila,15.31014,74.005916,2025-09-15,28,58,Open
15,Theft,Hubballi,Reddy Chowk,16.984956,76.535853,2025-07-24,65,58,Closed
16,Robbery,Belagavi,Khosla Chowk,17.244534,74.851256,2026-03-05,55,38,Under Investigation
17,Theft,Hubballi,Gopal Zila,15.715493,78.222624,2026-06-15,27,48,Closed
18,Drug Trafficking,Hubballi,Ramesh Path,15.958096,76.103085,2026-02-23,27,32,Under Investigation
19,Theft,Bengaluru,Kata Road,16.976627,78.307025,2026-07-20,26,38,Under Investigation
20,Cyber Crime,Mysuru,Saha Path,16.345215,77.093614,2025-12-04,21,43,Under Investigation
21,Theft,Hubballi,Datta Marg,18.487007,78.123611,2025-11-25,23,19,Closed
22,Robbery,Mysuru,Parikh Street,13.467391,78.055284,2025-09-19,50,22,Closed
23,Robbery,Shivamogga,Toor Circle,14.889547,76.090571,2026-03-19,28,30,Under Investigation
24,Kidnapping,Mangaluru,Chandran Zila,16.579954,74.558601,2026-04-28,53,37,Open
25,Theft,Hubballi,Sood Chowk,12.122896,77.235794,2026-03-06,68,25,Closed
26,Theft,Belagavi,Bhagat,16.880292,74.616323,2026-02-18,58,29,Closed
27,Drug Trafficking,Mangaluru,Dass Path,14.694641,77.612058,2026-03-06,42,20,Under Investigation
28,Murder,Hubballi,Kurian Marg,15.417338,76.596048,2026-02-26,28,28,Closed
29,Drug Trafficking,Belagavi,Tara Chowk,13.115002,75.188702,2025-08-25,70,42,Under Investigation
30,Robbery,Bengaluru,Agrawal Path,13.294326,77.341022,2026-02-21,52,58,Under Investigation
31,Fraud,Mysuru,Konda,11.870812,74.228842,2026-04-14,27,59,Closed
32,Drug Trafficking,Bengaluru,Anne Zila,12.276714,76.140121,2025-08-25,64,58,Open
33,Murder,Mangaluru,Parekh Road,14.703332,77.073911,2026-02-21,18,44,Open
34,Theft,Hubballi,Karnik Nagar,17.85145,77.29848,2025-12-10,35,19,Closed
35,Theft,Hubballi,Oza Ganj,15.773455,77.701088,2026-03-11,52,18,Under Investigation
36,Assault,Bengaluru,Prashad Ganj,17.230299,76.723006,2025-09-01,45,43,Open
37,Theft,Mangaluru,Prabhu Street,17.690944,75.318275,2025-08-24,26,39,Under Investigation
38,Murder,Hubballi,Golla Nagar,14.476866,75.733517,2025-12-03,23,24,Closed
39,Cyber Crime,Mysuru,Raj Nagar,12.047083,74.875052,2025-08-29,53,55,Closed
40,Cyber Crime,Mangaluru,Mangat Marg,13.617973,75.385358,2026-03-24,60,28,Closed
41,Cyber Crime,Mysuru,Butala Road,12.201704,74.351463,2025-11-06,24,39,Closed
42,Drug Trafficking,Belagavi,Hora Path,15.992272,78.321173,2025-07-31,54,31,Open
43,Fraud,Bengaluru,Dube,15.458024,77.600435,2025-10-13,49,34,Under Investigation
44,Robbery,Belagavi,Sampath Street,17.758068,77.948101,2026-07-13,64,31,Open
45,Cyber Crime,Hubballi,Jaggi Circle,14.262961,75.216493,2026-02-23,22,51,Closed
46,Theft,Belagavi,Dube,14.324919,76.256649,2025-08-27,61,60,Under Investigation
47,Theft,Mysuru,Saxena Circle,16.964498,78.362766,2026-02-28,55,39,Under Investigation
48,Cyber Crime,Hubballi,Hayer Marg,15.246962,76.588224,2026-06-04,18,51,Closed
49,Theft,Belagavi,Kale Path,15.669194,77.456031,2026-04-11,67,55,Open
50,Kidnapping,Bengaluru,Radhakrishnan Road,12.999549,76.471203,2026-04-13,29,43,Under Investigation
51,Fraud,Belagavi,Zachariah,17.242819,77.418618,2025-09-25,70,55,Under Investigation
52,Theft,Mysuru,Raghavan,15.313986,75.236468,2025-11-19,21,19,Closed
53,Theft,Mangaluru,Nazareth,16.026793,74.076478,2025-09-02,38,24,Open
54,Cyber Crime,Mangaluru,Mishra Chowk,15.202629,76.375829,2026-05-30,18,57,Under Investigation
55,Kidnapping,Mysuru,Parsa Circle,13.977671,75.460838,2025-10-05,49,55,Under Investigation
56,Murder,Shivamogga,Nagarajan Street,17.695045,75.631538,2026-02-11,26,25,Open
57,Fraud,Belagavi,Nagarajan,17.88456,74.169354,2025-08-23,32,26,Closed
58,Theft,Belagavi,Bhalla Ganj,15.268131,76.310703,2026-07-09,35,52,Under Investigation
59,Assault,Hubballi,Vig Ganj,13.568111,74.995265,2025-11-24,35,56,Open
60,Robbery,Shivamogga,Amble,16.735935,76.038349,2025-10-09,32,46,Open
61,Drug Trafficking,Shivamogga,Sane Path,12.172418,76.400356,2025-12-07,42,42,Open
62,Fraud,Bengaluru,Babu Nagar,14.291358,78.571846,2026-07-03,68,44,Under Investigation
63,Assault,Bengaluru,Sekhon Zila,14.751243,77.645001,2025-10-06,60,49,Under Investigation
64,Assault,Mysuru,Chada Chowk,15.613828,74.181199,2026-04-23,63,33,Under Investigation
65,Theft,Belagavi,Prakash Nagar,12.6158,76.032323,2025-11-22,62,47,Open
66,Theft,Bengaluru,Mall,14.38009,76.483742,2026-02-27,52,57,Closed
67,Assault,Hubballi,Srinivasan Zila,13.760235,77.160933,2026-01-24,49,46,Under Investigation
68,Drug Trafficking,Shivamogga,Korpal Street,17.530815,76.245809,2026-04-09,47,47,Closed
69,Murder,Bengaluru,Kohli Ganj,12.741452,78.578762,2026-02-17,59,26,Under Investigation
70,Drug Trafficking,Mysuru,Kalita,13.19681,77.23237,2025-11-27,63,28,Open
71,Theft,Mysuru,Sant Nagar,17.56144,77.086277,2026-01-21,22,31,Closed
72,Kidnapping,Belagavi,Mody Circle,14.311946,75.244764,2026-01-06,56,47,Open
73,Drug Trafficking,Belagavi,Kant Circle,12.35951,75.908033,2025-10-29,37,29,Under Investigation
74,Cyber Crime,Shivamogga,Shankar Ganj,16.299345,76.729581,2025-12-29,30,53,Under Investigation
75,Robbery,Shivamogga,Kapur Nagar,12.847342,74.699088,2025-09-20,33,58,Under Investigation
76,Murder,Belagavi,Tailor Zila,15.600462,78.190366,2026-05-02,58,23,Closed
77,Murder,Bengaluru,Pant Path,14.823348,75.201603,2026-06-22,45,18,Open
78,Cyber Crime,Bengaluru,Bora Circle,16.792608,77.065365,2026-05-13,59,21,Closed
79,Theft,Belagavi,Prabhu Street,14.741625,74.460312,2026-03-18,57,18,Closed
80,Assault,Bengaluru,Issac Marg,12.781399,74.716634,2025-10-13,22,40,Closed
81,Cyber Crime,Bengaluru,Vyas Nagar,18.076385,77.950296,2026-02-10,70,23,Open
82,Cyber Crime,Mangaluru,Tripathi Zila,14.780434,78.454706,2025-10-03,43,57,Closed
83,Robbery,Bengaluru,Varughese Chowk,18.098626,74.604349,2026-05-13,19,57,Under Investigation
84,Robbery,Hubballi,Ram Path,11.952962,74.260744,2025-12-31,54,30,Closed
85,Murder,Bengaluru,Rattan Circle,11.832361,76.336615,2025-09-23,54,52,Open
86,Robbery,Hubballi,Bora Ganj,15.652139,75.420878,2026-03-02,26,60,Under Investigation
87,Cyber Crime,Belagavi,Apte Zila,16.613891,74.937199,2025-09-30,31,23,Open
88,Fraud,Bengaluru,Korpal Zila,12.704501,77.541844,2026-05-31,36,32,Open
89,Robbery,Bengaluru,Chad,15.320282,74.999133,2025-09-29,61,33,Open
90,Kidnapping,Mangaluru,Palla Zila,13.748218,75.53368,2026-04-22,44,52,Closed
91,Murder,Mysuru,Jaggi Path,12.106968,78.530265,2026-04-06,27,44,Closed
92,Cyber Crime,Hubballi,Barad Circle,15.459151,76.607283,2025-12-31,41,33,Under Investigation
93,Theft,Shivamogga,Pandit Chowk,15.795867,75.700029,2026-06-27,64,45,Closed
94,Robbery,Hubballi,Nair Nagar,16.987315,78.328385,2026-04-07,33,27,Under Investigation
95,Robbery,Shivamogga,Gade Marg,16.672685,76.46087,2025-08-06,63,28,Under Investigation
96,Fraud,Hubballi,Mall Chowk,17.500308,75.142911,2026-02-21,39,46,Closed
97,Cyber Crime,Mysuru,Kant Marg,16.403113,75.433632,2025-09-17,29,29,Under Investigation
98,Kidnapping,Bengaluru,Agate Path,14.710197,75.5968,2026-02-09,51,26,Under Investigation
99,Theft,Bengaluru,Borde,16.484629,76.986945,2025-08-13,48,41,Under Investigation
100,Murder,Shivamogga,Sane Chowk,14.210201,77.283056,2025-10-23,34,59,Closed
101,Murder,Mysuru,Bhatt Road,14.935363,74.844159,2026-01-26,51,19,Open
102,Drug Trafficking,Bengaluru,Karan Path,13.79596,77.716219,2025-07-30,50,22,Open
103,Kidnapping,Hubballi,Bhagat Ganj,18.473535,77.558361,2026-03-02,70,20,Open
